epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,171.336,0.99277,0.61964,0.38722,0.22711,0.79902,0.83694,0.72402,0,0.000330435,0.000330435,0.067287
2,336.577,0.50211,0.37558,0.1964,0.35442,0.84408,0.5153,0.58776,0,0.000650626,0.000650626,0.0342738
3,507.478,0.42877,0.31414,0.16726,0.38846,0.83262,0.53007,0.54906,0,0.000957616,0.000957616,0.00124747
4,675.843,0.38478,0.27921,0.14956,0.36319,0.7026,0.85193,0.59033,0,0.0009406,0.0009406,0.0009406
5,846.988,0.35275,0.25142,0.13606,0.48272,0.87035,0.45522,0.49387,0,0.0009208,0.0009208,0.0009208
6,1017.57,0.32881,0.23504,0.12734,0.48203,0.88987,0.35961,0.4738,0,0.000901,0.000901,0.000901
7,1187.89,0.30417,0.21471,0.11744,0.48145,0.88918,0.35058,0.46125,0,0.0008812,0.0008812,0.0008812
8,1357.67,0.2829,0.19946,0.10892,0.42402,0.86592,0.50403,0.54021,0,0.0008614,0.0008614,0.0008614
9,1526.86,0.26665,0.18594,0.10303,0.47251,0.89397,0.35145,0.45025,0,0.0008416,0.0008416,0.0008416
10,1696.02,0.26251,0.18382,0.10114,0.44211,0.87476,0.4311,0.51589,0,0.0008218,0.0008218,0.0008218
11,1863.3,0.24904,0.17347,0.09606,0.44197,0.84185,0.45981,0.45373,0,0.000802,0.000802,0.000802
12,2028.22,0.23625,0.16338,0.09134,0.50398,0.86313,0.42233,0.44486,0,0.0007822,0.0007822,0.0007822
13,2193.13,0.22504,0.1584,0.08714,0.45739,0.86167,0.5016,0.49629,0,0.0007624,0.0007624,0.0007624
14,2358.27,0.22263,0.15226,0.08586,0.50057,0.87149,0.36764,0.40612,0,0.0007426,0.0007426,0.0007426
15,2523.25,0.21502,0.14996,0.08321,0.50293,0.88265,0.35254,0.42481,0,0.0007228,0.0007228,0.0007228
16,2688.09,0.20014,0.1402,0.07775,0.53197,0.87883,0.39132,0.41605,0,0.000703,0.000703,0.000703
17,2852.73,0.19846,0.13559,0.07672,0.53072,0.88853,0.40491,0.42255,0,0.0006832,0.0006832,0.0006832
18,3020.81,0.1879,0.12962,0.07303,0.52756,0.88811,0.38157,0.38578,0,0.0006634,0.0006634,0.0006634
19,3186.79,0.18403,0.12705,0.07131,0.6119,0.90514,0.2992,0.3389,0,0.0006436,0.0006436,0.0006436
20,3351.3,0.18154,0.12338,0.06994,0.53365,0.86768,0.40134,0.38624,0,0.0006238,0.0006238,0.0006238
21,3515.74,0.17571,0.12197,0.0681,0.55657,0.89429,0.32737,0.36581,0,0.000604,0.000604,0.000604
22,3680.28,0.1655,0.11422,0.06454,0.5757,0.90873,0.27046,0.35103,0,0.0005842,0.0005842,0.0005842
23,3844.77,0.1677,0.11426,0.0648,0.48179,0.85664,0.49227,0.44326,0,0.0005644,0.0005644,0.0005644
24,4009.19,0.16417,0.11013,0.06361,0.55972,0.90053,0.32087,0.37409,0,0.0005446,0.0005446,0.0005446
25,4173.21,0.14863,0.10194,0.05831,0.55814,0.90181,0.33669,0.36223,0,0.0005248,0.0005248,0.0005248
26,4337.77,0.15056,0.10297,0.05857,0.56807,0.89941,0.35027,0.37425,0,0.000505,0.000505,0.000505
